,Chapter,DocInfo
240,STSM021270,"['147709', '152243', '250970']"
241,STSM022160,"['147709', '152243', '250970']"
242,STSM092020,"['147709', '215724']"
246,STSM021140,['147710']
247,VATREG25400,['147751']
249,CFM37320,['148079']
250,CFM90170,"['149451', '3108639']"
251,CFM90240,['149451']
252,CFM90630,['149451']
253,CFM90710,['149451']
254,CFM90720,['149451']
255,CFM90830,['149451']
256,CFM90870,['149451']
257,CFM90940,['149451']
258,CFM92725,['149452']
259,CFM92738,['149452']
260,CFM38570,['149455']
261,CFM38580,['149455']
262,STSM021230,"['149463', '149464']"
263,STSM041020,"['149463', '149464', '156979']"
265,STSM041190,['149463']
267,STSM041250,['149463']
268,STSM131050,"['149463', '156979', '222150']"
273,CFM33204,"['149888', '236863']"
275,CG-APP1,['149888']
276,CG-APP11,['149888']
277,CTM04400,['149888']
279,CFM42100,['151060']
280,CTM15502,"['151060', '152229', '174297', '269309', '320635']"
281,CFM21060,"['151061', '183255']"
282,CTM36125,"['151082', '158169', '159563', '1758448', '2354628', '2381741', '250950']"
283,CTM15400,"['152224', '152258']"
284,CTM15450,"['152224', '152248']"
286,CTM15501,"['152229', '152248']"
288,CFM51020,['152232']
289,CFM50730,['152233']
290,CFM50740,['152233']
291,CFM50810,['152233']
292,CFM52060,['152237']
298,STSM022030,"['152243', '242126']"
300,STSM022240,['152243']
301,STSM056020,"['152243', '153501']"
307,CTM15525,"['152248', '174297', '269309']"
309,CTM15540,['152251']
311,CTM17510,['152258']
312,CTM15200,['152259']
313,CTM15130,['152260']
314,CTM15250,['152260']
315,CTM15350,['152260']
316,CTM06310,"['153480', '180409']"
320,CFM56020,['153485']
321,CFM56030,['153485']
322,STSM051020,"['153501', '154878']"
323,STSM053010,"['153501', '154878', '220846']"
324,STSM053050,"['153501', '156979']"
326,STSM057010,"['153501', '156980']"
328,STSM057070,"['153501', '156980']"
331,INTM162090,['1541830']
332,CFM55020,"['154868', '154869', '154870', '154871', '154872']"
334,CFM55290,"['154869', '154870']"
337,CFM55510,"['154870', '154872', '159887']"
339,CFM55420,['154871']
340,CFM55470,"['154871', '154872']"
341,CFM55490,['154871']
356,STSM132010,['154879']
359,STSM142070,['154879']
361,STSM142140,['154879']
362,CFM37640,"['156421', '156422']"
368,STSM042180,"['156978', '222147']"
369,STSM131010,['156978']
378,STSM057030,['156980']
385,STSM022120,['158169']
387,STSM042470,['158169']
388,STSM042480,"['158169', '344232']"
389,STSM042490,['158169']
390,STSM042500,['158169']
394,OT03000,['1603616']
395,OT05200,['1603616']
396,OT15920,['1603616']
397,OT19200,['1603616']
398,OT19225,['1603616']
399,OT19250,['1603616']
400,OT00002,['1603655']
401,CTM97420,['1607191']
402,CTM97430,['1607191']
403,CTM97440,['1607191']
